Método,Réplicas/Pares,Media,Varianza,Desviación Estándar,Reducción Varianza (%)
Caso Base,100,5227729.05436924,532782137316.22064,729919.2676702134,0.0
Método Combinado,40,5204915.326203487,362699155139.83057,602245.0955714214,31.92355191057038
