Método,N_Replicas,N_Total_VC,N_Calibracion,Media,Varianza,Desv_Std,Reduccion_Varianza_%,Factor_Reduccion
Caso Base,80,-,-,5228007.567961549,516927261783.2581,718976.5377140328,0.0,1.0
Múltiples VC,60,100,40,5149301.225084553,798831743854.8812,893773.8773620995,-54.53465176108714,0.6471040563420137
