Pedidos Ingresados,Proporcion Llamadas Perdidas,Proporcion Pedidos Tardíos,Proporcion Tardíos Normal,Proporcion Tardíos Premium,Tiempo Medio para Procesar un Pedido (min),Tiempo Medio para Procesar un Pedido Normal (min),Tiempo Medio para Procesar un Pedido Premium (min),Utilidad
922,0.014957264957264958,0.09002169197396963,0.11066666666666666,0.0,33.39451557100025,34.64739786146725,27.931366048615075,4277600.0
907,0.022629310344827586,0.0011025358324145535,0.0012738853503184713,0.0,28.808723457421944,28.96972266943562,27.77278590471105,5013000.0
917,0.011853448275862068,0.11559432933478735,0.13624678663239073,0.0,37.66964352302961,39.23328126561237,28.917771841523205,3904200.0
896,0.013215859030837005,0.018973214285714284,0.023035230352303523,0.0,30.19482782373731,30.51766747872001,28.686880574514326,5019000.0
896,0.007751937984496124,0.049107142857142856,0.05751633986928104,0.0,30.287025958818788,30.65561870924274,28.134556843747582,4281300.0
913,0.008686210640608035,0.0832420591456736,0.0973111395646607,0.0,33.53042643222756,34.43221049796141,28.19487070996895,4091700.0
893,0.013259668508287293,0.036954087346024636,0.04365079365079365,0.0,29.960586221088956,30.268772057511516,28.259940291633107,4575200.0
963,0.014329580348004094,0.06438213914849429,0.07503075030750307,0.006666666666666667,33.30274261062588,34.059963883099186,29.19860331382053,4913300.0
856,0.009259259259259259,0.030373831775700934,0.03513513513513514,0.0,29.69917703705718,30.072069092484103,27.32038289036819,4230300.0
911,0.01406926406926407,0.01646542261251372,0.019430051813471502,0.0,30.61016200596391,31.137602928558422,27.68077788910806,4942800.0
834,0.00477326968973747,0.07314148681055156,0.08203677510608204,0.023622047244094488,33.083497711478394,33.68466072975202,29.73686579085279,3377400.0
883,0.012304250559284116,0.06455266138165346,0.07579787234042554,0.0,32.833141519078815,33.517401214895976,28.905177463700937,4125200.0
921,0.016025641025641024,0.13137893593919653,0.15181932245922208,0.0,36.87251579313128,38.26204242346269,27.941445435275376,3435500.0
917,0.013978494623655914,0.022900763358778626,0.02727272727272727,0.0,30.482798499571974,30.882222335022394,28.390578409117403,4736400.0
928,0.001076426264800861,0.02693965517241379,0.031210986267166042,0.0,30.773489668362547,31.20165257493101,28.0730291316591,5355400.0
860,0.013761467889908258,0.0069767441860465115,0.008356545961002786,0.0,27.850973854158905,27.911051466729035,27.547201137078936,4732500.0
932,0.013756613756613757,0.023605150214592276,0.02743142144638404,0.0,30.05631985386133,30.452357960625857,27.61306937982168,4932700.0
838,0.01527614571092832,0.06205250596658711,0.07344632768361582,0.0,33.76404747242535,34.701704568514415,28.65742267218646,3898400.0
993,0.015857284440039643,0.07351460221550855,0.08649289099526067,0.0,33.2380494151862,34.160449991925375,28.01317634963009,4786100.0
896,0.012127894156560088,0.021205357142857144,0.025065963060686015,0.0,29.35728346621709,29.672788877617954,27.62428997460945,4746300.0
930,0.013785790031813362,0.0978494623655914,0.11292346298619825,0.007518796992481203,35.49686929626983,36.513760600200285,29.40316727196474,4191600.0
852,0.010452961672473868,0.014084507042253521,0.016689847009735744,0.0,28.05335705082434,28.22473167903754,27.126903233641723,4243500.0
976,0.011144883485309016,0.042008196721311473,0.048693586698337295,0.0,30.221934353435735,30.640213023778287,27.593645992029575,5158300.0
824,0.017878426698450536,0.02669902912621359,0.031746031746031744,0.0,30.970216539048778,31.554774673016883,27.87785938759921,4239300.0
848,0.019653179190751446,0.08490566037735849,0.09563994374120956,0.029197080291970802,35.19378610017376,36.32948888905788,29.299737319906544,3580400.0
906,0.018418201516793065,0.013245033112582781,0.015483870967741935,0.0,30.101188770565674,30.35044906068716,28.626557283205738,5011200.0
950,0.0073145245559038665,0.11052631578947368,0.128992628992629,0.0,34.349760399413945,35.202923615428,29.243327621212188,4374000.0
913,0.014038876889848811,0.04271631982475356,0.0499359795134443,0.0,31.150558476194682,31.606985372835023,28.45003267107265,4669500.0
865,0.017045454545454544,0.057803468208092484,0.0681198910081744,0.0,31.477479862499777,32.04543256158234,28.295210540922643,4075600.0
876,0.013513513513513514,0.0045662100456621,0.005298013245033113,0.0,28.578799268297725,28.827692557090753,27.025787425002374,4828400.0
954,0.014462809917355372,0.07547169811320754,0.0876979293544458,0.0,36.01358121043967,37.22233126738224,28.55204890404975,4771900.0
884,0.011185682326621925,0.08710407239819004,0.10335570469798658,0.0,34.22164559450629,35.37427801063613,28.043867536831964,3851700.0
917,0.02653927813163482,0.1079607415485278,0.12547528517110265,0.0,34.23559443139371,35.08877814207302,28.9765167147845,3723900.0
863,0.013714285714285714,0.03476245654692932,0.0407055630936228,0.0,29.605025695039895,29.864556605828785,28.086975843838253,4298000.0
901,0.014223194748358862,0.05438401775804662,0.06472919418758256,0.0,30.830733375324897,31.385987856359463,27.91179141599735,4334300.0
851,0.015046296296296295,0.04230317273795535,0.04938271604938271,0.0,30.242085814750524,30.703422264435257,27.48541145556881,4145000.0
885,0.01557285873192436,0.0519774011299435,0.06199460916442048,0.0,30.981617691249863,31.56021174871656,27.97940237208697,4378000.0
858,0.014925373134328358,0.05011655011655012,0.058029689608636977,0.0,30.599384874827884,31.051467930439273,27.736192189289067,4203800.0
894,0.0208105147864184,0.011185682326621925,0.01277139208173691,0.0,29.026644555588472,29.175101334710618,27.9794224109701,4382200.0
979,0.012108980827447022,0.0296220633299285,0.03489771359807461,0.0,30.964195531072605,31.46480932075759,28.153316752503535,5373700.0
922,0.01072961373390558,0.05639913232104121,0.06615776081424936,0.0,31.204179894513146,31.70426447198554,28.313985204121252,4666600.0
859,0.016036655211912942,0.11059371362048893,0.13055555555555556,0.007194244604316547,34.690455568573526,35.81105389991009,28.88591744942007,3352900.0
917,0.016094420600858368,0.04689203925845147,0.05375,0.0,30.422115420283827,30.80128490172676,27.82950358135779,4446100.0
888,0.019867549668874173,0.11824324324324324,0.13870541611624834,0.0,35.00297141894092,36.13589120110991,28.456251761674384,3271300.0
878,0.012373453318335208,0.0,0.0,0.0,28.350439407705966,28.438898651995153,27.876092735430632,5122800.0
840,0.014084507042253521,0.0,0.0,0.0,27.329298479621755,27.407473028805647,26.836458930418935,4485600.0
849,0.019630484988452657,0.0895170789163722,0.10704225352112676,0.0,33.04577965376525,33.9034378013684,28.66493587823842,3429200.0
