Pedidos Ingresados,Proporcion Llamadas Perdidas,Proporcion Pedidos Tardíos,Proporcion Tardíos Normal,Proporcion Tardíos Premium,Tiempo Medio para Procesar un Pedido (min),Tiempo Medio para Procesar un Pedido Normal (min),Tiempo Medio para Procesar un Pedido Premium (min),Utilidad
907,0.008743169398907104,0.020948180815876516,0.02442159383033419,0.0,29.015011642748807,29.149310375116002,28.205054946766808,4930900.0
887,0.011148272017837236,0.019165727170236752,0.022397891963109356,0.0,28.809714595909163,29.11405416765958,27.005076041545323,4623900.0
924,0.014925373134328358,0.010822510822510822,0.012578616352201259,0.0,30.45718609609101,30.78460059760101,28.43939905190146,5172600.0
911,0.017259978425026967,0.07354555433589462,0.08395989974937343,0.0,32.3174807259474,33.0331910189941,27.26317263876799,3596500.0
898,0.014270032930845226,0.14587973273942093,0.17101827676240208,0.0,38.86851120807934,40.781012408676105,27.77020878643454,2211100.0
921,0.01812366737739872,0.11834961997828447,0.13885350318471337,0.0,34.213616555186185,35.252517759642295,28.21701769122998,2836100.0
936,0.01680672268907563,0.0811965811965812,0.09417596034696406,0.0,32.472433179421394,33.14825839716878,28.244596352118,3746300.0
934,0.014767932489451477,0.0021413276231263384,0.0025348542458808617,0.0,28.23150718029118,28.33510519581307,27.667791082037624,5563900.0
918,0.013963480128893663,0.013071895424836602,0.01540436456996149,0.0,29.93144324258318,30.19772753950566,28.439101751197494,4824900.0
879,0.009019165727170236,0.03754266211604096,0.04532967032967033,0.0,31.26703847137185,31.945460660842954,27.996234802928374,4179100.0
900,0.01639344262295082,0.052222222222222225,0.061923583662714096,0.0,31.355998875369846,32.00095623843539,27.884207112485097,4265900.0
903,0.009868421052631578,0.08305647840531562,0.09664948453608248,0.0,32.39215806312291,33.0824106857677,28.1745514869626,3418700.0
955,0.019507186858316223,0.05235602094240838,0.06218905472636816,0.0,32.33828268198673,33.06025043512983,28.494162989754614,4393900.0
941,0.017745302713987474,0.0010626992561105207,0.0012376237623762376,0.0,30.048554323254027,30.325795885148843,28.36425972166748,5868500.0
918,0.01818181818181818,0.1568627450980392,0.1877444589308996,0.0,38.79266317079773,40.805394525379675,28.569054237258968,2457400.0
976,0.016129032258064516,0.16495901639344263,0.1953883495145631,0.0,41.792379923203,44.22763781993769,28.590718693536008,2512900.0
936,0.012658227848101266,0.0,0.0,0.0,28.046603946572116,28.199849545111615,27.25617928042102,5677700.0
889,0.012222222222222223,0.014623172103487065,0.017287234042553192,0.0,28.589500365560795,28.655884147115312,28.22511639673602,4559300.0
916,0.01611170784103115,0.017467248908296942,0.020618556701030927,0.0,30.61906944460762,31.092405007034227,27.995438041443,5238200.0
953,0.01752577319587629,0.06715634837355719,0.07894736842105263,0.0064516129032258064,34.028388089184986,34.94443107820665,29.312244184415412,4427200.0
963,0.008238928939237899,0.09034267912772585,0.10609756097560975,0.0,34.46775793505661,35.313535843986905,29.617842653078657,3813700.0
972,0.012195121951219513,0.10493827160493827,0.12623762376237624,0.0,41.920951155667815,44.38911292008258,29.76073953586824,3691100.0
901,0.010976948408342482,0.00776914539400666,0.009150326797385621,0.0,30.433333109336818,30.8282111743042,28.212143993895282,5253200.0
913,0.021436227224008574,0.04600219058050383,0.05384615384615385,0.0,30.850797205976217,31.309532713043172,28.160468668290328,4254400.0
946,0.015608740894901144,0.016913319238900635,0.019851116625310174,0.0,29.711098072981088,30.078066028669593,27.5984111280887,5337600.0
900,0.017467248908296942,0.011111111111111112,0.013003901170351105,0.0,29.75103737763078,30.09749644934069,27.717243284921448,4988100.0
889,0.011123470522803115,0.02699662542182227,0.03162055335968379,0.0,30.235143215418557,30.628334153259757,27.939513047561082,4515400.0
847,0.015116279069767442,0.009445100354191263,0.011065006915629323,0.0,28.897997172019643,29.073733114935738,27.873343246791123,4332100.0
881,0.013437849944008958,0.1362088535754824,0.1610738255033557,0.0,36.607580570265704,38.076376172202174,28.561604662599002,2646000.0
913,0.01933404940923738,0.16100766703176342,0.19090909090909092,0.0,40.94189266776149,43.238883013006024,28.57348311644484,2688900.0
